"","Pclass","Sex","Age","SibSp","Parch","Fare"
"1",3,"male",22,1,0,7.25
"2",1,"female",38,1,0,71.2833
"3",3,"female",26,0,0,7.925
"4",1,"female",35,1,0,53.1
"5",3,"male",35,0,0,8.05
"6",3,"male",44,0,0,8.4583
"7",1,"male",54,0,0,51.8625
"8",3,"male",2,3,1,21.075
"9",3,"female",27,0,2,11.1333
"10",2,"female",14,1,0,30.0708
"11",3,"female",4,1,1,16.7
"12",1,"female",58,0,0,26.55
"13",3,"male",20,0,0,8.05
"14",3,"male",39,1,5,31.275
"15",3,"female",14,0,0,7.8542
"16",2,"female",55,0,0,16
"17",3,"male",2,4,1,29.125
"18",2,"male",49,0,0,13
"19",3,"female",31,1,0,18
"20",3,"female",45,0,0,7.225
"21",2,"male",35,0,0,26
"22",2,"male",34,0,0,13
"23",3,"female",15,0,0,8.0292
"24",1,"male",28,0,0,35.5
"25",3,"female",8,3,1,21.075
"26",3,"female",38,1,5,31.3875
"27",3,"male",6,0,0,7.225
"28",1,"male",19,3,2,263
"29",3,"female",18,0,0,7.8792
"30",3,"male",4,0,0,7.8958
"31",1,"male",40,0,0,27.7208
"32",1,"female",36,1,0,146.5208
"33",3,"female",4,0,0,7.75
"34",2,"male",66,0,0,10.5
"35",1,"male",28,1,0,82.1708
"36",1,"male",42,1,0,52
"37",3,"male",45,0,0,7.2292
"38",3,"male",21,0,0,8.05
"39",3,"female",18,2,0,18
"40",3,"female",14,1,0,11.2417
"41",3,"female",40,1,0,9.475
"42",2,"female",27,1,0,21
"43",3,"male",45,0,0,7.8958
"44",2,"female",3,1,2,41.5792
"45",3,"female",19,0,0,7.8792
"46",3,"male",4,0,0,8.05
"47",3,"male",4,1,0,15.5
"48",3,"female",27,0,0,7.75
"49",3,"male",5,2,0,21.6792
"50",3,"female",18,1,0,17.8
"51",3,"male",7,4,1,39.6875
"52",3,"male",21,0,0,7.8
"53",1,"female",49,1,0,76.7292
"54",2,"female",29,1,0,26
"55",1,"male",65,0,1,61.9792
"56",1,"male",33,0,0,35.5
"57",2,"female",21,0,0,10.5
"58",3,"male",28.5,0,0,7.2292
"59",2,"female",5,1,2,27.75
"60",3,"male",11,5,2,46.9
"61",3,"male",22,0,0,7.2292
"62",1,"female",38,0,0,80
"63",1,"male",45,1,0,83.475
"64",3,"male",4,3,2,27.9
"65",1,"male",40,0,0,27.7208
"66",3,"male",41,1,1,15.2458
"67",2,"female",29,0,0,10.5
